,#,GOALIE,AGE,TYPE,EXPIRY,CAP HIT,GP,MIN,SH,SV,SV%,GAA,$/GP,$/MIN,$/SV
50,51,"Howard, Jimmy",33,Stnd,UFA,"$5,291,666 ",60,3367,1770,1610,0.91,2.85,"$88,194 ","$1,571 ","$3,286 "
51,52,"Quick, Jonathan",31,Stnd,UFA,"$5,800,000 ",64,3677,1867,1720,0.921,2.4,"$90,625 ","$1,577 ","$3,372 "
52,53,"Montoya, Al",32,Stnd,UFA,"$1,062,500 ",13,691,346,309,0.893,3.21,"$81,730 ","$1,537 ","$3,438 "
53,54,"Coreau, Jared",26,Stnd,UFA,"$612,500 ",7,380,203,176,0.867,4.26,"$87,500 ","$1,611 ","$3,480 "
54,55,"Smith, Mike",35,Stnd,UFA,"$5,666,667 ",55,3190,1686,1545,0.916,2.65,"$103,030 ","$1,776 ","$3,667 "
55,56,"Bishop, Ben",31,Stnd,UFA,"$4,916,667 ",53,2886,1437,1317,0.917,2.49,"$92,767 ","$1,703 ","$3,733 "
56,57,"Darling, Scott",29,Stnd,UFA,"$4,150,000 ",43,2475,1171,1040,0.888,3.18,"$96,511 ","$1,676 ","$3,990 "
57,58,"Varlamov, Semyon",29,Stnd,UFA,"$5,900,000 ",51,2861,1595,1467,0.92,2.68,"$115,686 ","$2,062 ","$4,021 "
58,59,"Bobrovsky, Sergei",29,Stnd,UFA,"$7,425,000 ",65,3911,1993,1835,0.921,2.42,"$114,230 ","$1,898 ","$4,046 "
59,60,"Holtby, Braden",28,Stnd,UFA,"$6,100,000 ",54,3067,1648,1495,0.907,2.99,"$112,962 ","$1,988 ","$4,080 "
60,61,"Rinne, Pekka",35,Stnd,UFA,"$7,000,000 ",59,3475,1840,1706,0.927,2.31,"$118,644 ","$2,014 ","$4,103 "
61,62,"Mrázek, Petr",25,Stnd,UFA,"$4,000,000 ",39,2096,1080,974,0.902,3.03,"$102,564 ","$1,908 ","$4,106 "
62,63,"Lyon, Alex",25,Stnd,RFA,"$874,125 ",11,479,232,210,0.905,2.76,"$79,465 ","$1,824 ","$4,162 "
63,64,"Greiss, Thomas",31,Stnd,UFA,"$3,333,333 ",27,1491,879,784,0.892,3.82,"$123,456 ","$2,235 ","$4,251 "
64,65,"Fleury, Marc-André",33,Stnd,UFA,"$5,750,000 ",46,2673,1376,1276,0.927,2.24,"$125,000 ","$2,151 ","$4,506 "
65,66,"Lundqvist, Henrik",35,Stnd,UFA,"$8,500,000 ",63,3502,2036,1862,0.915,2.98,"$134,920 ","$2,427 ","$4,564 "
66,67,"Campbell, Jack",25,Stnd,RFA,"$612,500 ",5,266,145,134,0.924,2.48,"$122,500 ","$2,302 ","$4,570 "
67,68,"Price, Carey",30,Stnd,UFA,"$6,500,000 ",49,2854,1487,1339,0.901,3.11,"$132,653 ","$2,277 ","$4,854 "
68,69,"Luongo, Roberto",38,Stnd,UFA,"$5,333,333 ",35,1965,1143,1062,0.929,2.47,"$152,380 ","$2,714 ","$5,021 "
69,70,"Rask, Tuukka",30,Stnd,UFA,"$7,000,000 ",54,3173,1513,1388,0.917,2.36,"$129,629 ","$2,206 ","$5,043 "
70,71,"Neuvirth, Michal",29,Stnd,UFA,"$2,500,000 ",22,1038,530,485,0.915,2.6,"$113,636 ","$2,408 ","$5,154 "
71,72,"Schneider, Cory",31,Stnd,UFA,"$6,000,000 ",40,2332,1228,1114,0.907,2.93,"$150,000 ","$2,572 ","$5,385 "
72,73,"Budaj, Peter",35,Stnd,UFA,"$1,025,000 ",8,430,217,190,0.876,3.77,"$128,125 ","$2,383 ","$5,394 "
73,74,"Ullmark, Linus",24,Stnd,RFA,"$750,000 ",5,240,123,115,0.935,2,"$150,000 ","$3,125 ","$6,521 "
74,75,"Lehtonen, Kari",34,Stnd,UFA,"$5,900,000 ",37,1944,946,863,0.912,2.56,"$159,459 ","$3,034 ","$6,836 "
75,76,"Crawford, Corey",33,Stnd,UFA,"$6,000,000 ",28,1583,842,782,0.929,2.27,"$214,285 ","$3,790 ","$7,672 "
76,77,"Berra, Reto",30,Stnd,UFA,"$700,000 ",5,181,95,88,0.926,2.32,"$140,000 ","$3,867 ","$7,954 "
77,78,"Mason, Steve",29,Stnd,UFA,"$4,100,000 ",13,684,392,355,0.906,3.25,"$315,384 ","$5,994 ","$11,549 "
78,79,"Läck, Eddie",29,Stnd,UFA,"$2,750,000 ",8,343,177,154,0.87,4.02,"$343,750 ","$8,017 ","$17,857 "
