,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
20,21. Andrei Vasilevskiy,TBL,30,"Jul. 25, 1994",Russia,216 lbs - 98 kg,"6'3"" - 191 cm",G,Left,19 - Round 1 - 2012 (TBL),,,,TBL,Standard (1-way),✔,"Jul. 29, 2019",25,✔,,M-NTC,8,RFA,UFA,2028,"$9,500,000 ",11.70%,"$9,500,000 ","$9,000,000 ","$5,000,000 ","$9,000,000 ","$4,000,000 ",$0 
21,22. Brayden Point,TBL,29,"Mar. 13, 1996",Canada,166 lbs - 75 kg,"5'10"" - 178 cm","C, RW",Right,79 - Round 3 - 2014 (TBL),,,,TBL,Standard (1-way),✔,"Jul. 28, 2021",26,✔,,NMC,8,RFA,UFA,2030,"$9,500,000 ",11.70%,"$9,500,000 ","$12,000,000 ","$5,000,000 ","$12,000,000 ","$7,000,000 ",$0 
22,23. Matthew Tkachuk,FLA,27,"Dec. 11, 1997",United States,202 lbs - 92 kg,"6'2"" - 188 cm",RW,Left,6 - Round 1 - 2016 (CGY),,,,CGY,Standard (1-way),,"Jul. 22, 2022",24,✔,✔,NMC,8,RFA,UFA,2030,"$9,500,000 ",11.50%,"$9,500,000 ","$11,250,000 ","$1,000,000 ","$11,250,000 ","$10,250,000 ",$0 
23,24. Nikita Kucherov,TBL,32,"Jun. 17, 1993",Russia,180 lbs - 82 kg,"5'11"" - 180 cm",RW,Left,58 - Round 2 - 2011 (TBL),,,,TBL,Standard (1-way),✔,"Jul. 10, 2018",26,✔,,M-NTC,8,RFA,UFA,2027,"$9,500,000 ",11.90%,"$9,500,000 ","$8,000,000 ","$5,000,000 ","$8,000,000 ","$3,000,000 ",$0 
24,25. Darnell Nurse,EDM,30,"Feb. 4, 1995",Canada,221 lbs - 100 kg,"6'4"" - 193 cm",LD,Left,7 - Round 1 - 2013 (EDM),,,,EDM,Standard (1-way),✔,"Aug. 6, 2021",27,,,NMC,8,UFA,UFA,2030,"$9,250,000 ",11.30%,"$9,250,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ",$0 ,$0 
25,26. Roman Josi,NSH,35,"Jun. 1, 1990",Switzerland,201 lbs - 91 kg,"6'1"" - 185 cm",LD,Left,38 - Round 2 - 2008 (NSH),,,,NSH,Standard (1-way),✔,"Oct. 29, 2019",30,,,NMC,8,UFA,UFA,2028,"$9,059,000 ",11.10%,"$9,059,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 ,$0 
26,27. Jake Guentzel,TBL,30,"Oct. 6, 1994",United States,180 lbs - 82 kg,"5'11"" - 180 cm","LW, RW",Left,77 - Round 3 - 2013 (PIT),,,,TBL,Standard (1-way),✔,"Jun. 30, 2024",29,,,NMC,7,UFA,UFA,2031,"$9,000,000 ",10.20%,"$9,000,000 ","$9,947,368 ","$1,000,000 ","$9,947,368 ","$8,947,368 ",$0 
27,28. Dougie Hamilton,NJD,32,"Jun. 17, 1993",Canada,229 lbs - 104 kg,"6'6"" - 198 cm",RD,Right,9 - Round 1 - 2011 (BOS),,,,NJD,Standard (1-way),,"Jul. 28, 2021",28,,,"M-NTC, NMC",7,UFA,UFA,2028,"$9,000,000 ",11.00%,"$9,000,000 ","$11,550,000 ","$1,000,000 ","$11,550,000 ","$10,550,000 ",$0 
28,29. Timo Meier,NJD,28,"Oct. 8, 1996",Switzerland,210 lbs - 95 kg,"6'0"" - 183 cm","LW, RW",Left,9 - Round 1 - 2015 (SJS),,,,NJD,Standard (1-way),✔,"Jun. 28, 2023",26,✔,✔,NMC,8,RFA,UFA,2031,"$8,800,000 ",10.50%,"$8,800,000 ","$10,750,000 ","$5,000,000 ","$10,750,000 ","$5,750,000 ",$0 
29,30. Alex Pietrangelo,VGK,35,"Jan. 18, 1990",Canada,210 lbs - 95 kg,"6'3"" - 191 cm",RD,Right,4 - Round 1 - 2008 (STL),,,,VGK,Standard (1-way),,"Oct. 12, 2020",30,,,NMC,7,UFA,UFA,2027,"$8,800,000 ",10.80%,"$8,800,000 ","$10,000,000 ","$4,000,000 ","$10,000,000 ","$6,000,000 ",$0 
30,31. Patrik Laine,CBJ,27,"Apr. 19, 1998",Finland,206 lbs - 93 kg,"6'5"" - 196 cm","C, RW, LW",Right,2 - Round 1 - 2016 (WPG),,,,CBJ,Standard (1-way),,"Jul. 22, 2022",24,✔,,M-NTC,4,RFA,UFA,2026,"$8,700,000 ",10.50%,"$8,700,000 ","$9,100,000 ","$7,100,000 ","$9,100,000 ","$2,000,000 ",$0 
31,32. Dylan Larkin,DET,28,"Jul. 30, 1996",United States,198 lbs - 90 kg,"6'1"" - 185 cm",C,Left,15 - Round 1 - 2014 (DET),,,,DET,Standard (1-way),✔,"Mar. 1, 2023",26,,,NTC,8,UFA,UFA,2031,"$8,700,000 ",10.50%,"$8,700,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ",$0 ,$0 
32,33. Sam Reinhart,FLA,29,"Nov. 6, 1995",Canada,194 lbs - 88 kg,"6'1"" - 185 cm",RW,Right,2 - Round 1 - 2014 (BUF),,,,FLA,Standard (1-way),✔,"Jun. 30, 2024",28,,,NMC,8,UFA,UFA,2032,"$8,625,000 ",9.80%,"$8,625,000 ","$10,000,000 ","$1,000,000 ","$10,000,000 ","$9,000,000 ",$0 
33,34. Filip Forsberg,NSH,30,"Aug. 13, 1994",Sweden,205 lbs - 93 kg,"6'1"" - 185 cm",LW,Right,11 - Round 1 - 2012 (WSH),,,,NSH,Standard (1-way),✔,"Jul. 9, 2022",27,,,NMC,8,UFA,UFA,2030,"$8,500,000 ",10.30%,"$8,500,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ",$0 ,$0 
34,35. Mark Scheifele,WPG,32,"Mar. 15, 1993",Canada,207 lbs - 94 kg,"6'3"" - 191 cm",C,Right,7 - Round 1 - 2011 (WPG),,,,WPG,Standard (1-way),✔,"Oct. 9, 2023",31,,,NMC,7,UFA,UFA,2031,"$8,500,000 ",10.20%,"$8,500,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ",$0 ,$0 
35,36. Connor Hellebuyck,WPG,32,19-May-93,United States,207 lbs - 94 kg,"6'4"" - 193 cm",G,Left,130 - Round 5 - 2012 (WPG),,,,WPG,Standard (1-way),✔,"Oct. 9, 2023",31,,,NMC,7,UFA,UFA,2031,"$8,500,000 ",10.20%,"$8,500,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ",$0 ,$0 
36,37. Bo Horvat,NYI,30,"Apr. 5, 1995",Canada,215 lbs - 98 kg,"6'0"" - 183 cm",C,Left,9 - Round 1 - 2013 (VAN),,,,NYI,Standard (1-way),✔,"Feb. 5, 2023",28,,,NTC,8,UFA,UFA,2031,"$8,500,000 ",10.30%,"$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 ",$0 ,$0 
37,38. Mika Zibanejad,NYR,32,"Apr. 18, 1993",Sweden,208 lbs - 94 kg,"6'2"" - 188 cm",C,Right,6 - Round 1 - 2011 (OTT),,,,NYR,Standard (1-way),✔,"Oct. 10, 2021",29,,,NMC,8,UFA,UFA,2030,"$8,500,000 ",10.40%,"$8,500,000 ","$10,000,000 ","$1,000,000 ","$10,000,000 ","$9,000,000 ",$0 
38,39. Tomas Hertl,VGK,31,"Nov. 12, 1993",Czech Republic,215 lbs - 98 kg,"6'2"" - 188 cm",C,Left,17 - Round 1 - 2012 (SJS),,,,SJS,Standard (1-way),✔,"Mar. 16, 2022",28,,,"M-NTC, NMC",8,UFA,UFA,2030,"$8,137,500 ",10.00%,"$8,137,500 ","$10,000,000 ","$7,500,000 ","$10,000,000 ","$2,500,000 ",$0 
39,40. Pavel Buchnevich,STL,30,"Apr. 17, 1995",Russia,197 lbs - 89 kg,"6'3"" - 191 cm","LW, RW, C",Left,75 - Round 3 - 2013 (NYR),,,,STL,Standard (1-way),✔,"Jul. 2, 2024",30,,,NTC,6,UFA,UFA,2031,"$8,000,000 ",9.10%,"$8,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 ,$0 
40,41. Steven Stamkos,NSH,35,"Feb. 7, 1990",Canada,194 lbs - 88 kg,"6'1"" - 185 cm","LW, C",Right,1 - Round 1 - 2008 (TBL),,,,NSH,Standard (1-way),,"Jul. 1, 2024",34,,,,4,UFA,UFA,2028,"$8,000,000 ",9.10%,"$8,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 ,$0 
41,42. Logan Couture,SJS,36,"Mar. 28, 1989",Canada,200 lbs - 91 kg,"6'1"" - 185 cm",C,Left,9 - Round 1 - 2007 (SJS),,,,SJS,Standard (1-way),✔,"Jul. 1, 2018",30,,,M-NTC,8,UFA,UFA,2027,"$8,000,000 ",10.10%,"$8,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",$0 ,$0 
42,43. J.T. Miller,VAN,32,"Mar. 14, 1993",United States,218 lbs - 99 kg,"6'1"" - 185 cm","C, LW, RW",Left,15 - Round 1 - 2011 (NYR),,,,VAN,Standard (1-way),✔,"Sep. 2, 2022",30,,,NMC,7,UFA,UFA,2030,"$8,000,000 ",9.70%,"$8,000,000 ","$9,000,000 ","$4,000,000 ","$9,000,000 ","$5,000,000 ",$0 
43,44. John Carlson,WSH,35,"Jan. 10, 1990",United States,217 lbs - 98 kg,"6'3"" - 191 cm",RD,Right,27 - Round 1 - 2008 (WSH),,,,WSH,Standard (1-way),✔,"Jun. 25, 2018",28,,,M-NTC,8,UFA,UFA,2026,"$8,000,000 ",10.10%,"$8,000,000 ","$6,000,000 ","$4,000,000 ","$6,000,000 ","$2,000,000 ",$0 
44,45. Jacob Trouba,NYR,31,"Feb. 26, 1994",United States,209 lbs - 95 kg,"6'3"" - 191 cm",RD,Right,9 - Round 1 - 2012 (WPG),,,,NYR,Standard (1-way),,"Jul. 19, 2019",25,✔,✔,M-NTC,7,RFA,UFA,2026,"$8,000,000 ",9.80%,"$8,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",$0 ,$0 
45,46. Victor Hedman,TBL,34,"Dec. 18, 1990",Sweden,229 lbs - 104 kg,"6'6"" - 198 cm",LD,Left,2 - Round 1 - 2009 (TBL),,,,TBL,Standard (1-way),✔,"Jul. 2, 2024",34,,,NMC,4,UFA,UFA,2029,"$8,000,000 ",9.10%,"$8,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 ,$0 
46,47. Kevin Fiala,LAK,28,"Jul. 22, 1996",Switzerland,193 lbs - 88 kg,"5'10"" - 178 cm","RW, LW",Left,11 - Round 1 - 2014 (NSH),,,,LAK,Standard (1-way),✔,"Jun. 29, 2022",25,✔,,NMC,7,RFA,UFA,2029,"$7,875,000 ",9.50%,"$7,875,000 ","$8,750,000 ","$5,500,000 ","$8,750,000 ","$3,250,000 ",$0 
47,48. Shea Weber,UTA,39,"Aug. 14, 1985",Canada,230 lbs - 104 kg,"6'4"" - 193 cm",RD,Right,49 - Round 2 - 2003 (NSH),,,,NSH,Standard (1-way),,"Jul. 24, 2012",26,✔,,,14,RFA,UFA,2026,"$7,857,143 ",13.10%,"$7,857,143 ","$1,000,000 ","$1,000,000 ","$1,000,000 ",$0 ,$0 
48,49. Sean Couturier,PHI,32,"Dec. 7, 1992",United States,211 lbs - 96 kg,"6'3"" - 191 cm",C,Left,8 - Round 1 - 2011 (PHI),,,,PHI,Standard (1-way),✔,"Aug. 26, 2021",29,,,NMC,8,UFA,UFA,2030,"$7,750,000 ",9.50%,"$7,750,000 ","$9,000,000 ","$4,000,000 ","$9,000,000 ","$5,000,000 ",$0 
49,50. Elias Lindholm,BOS,30,"Dec. 2, 1994",Sweden,195 lbs - 88 kg,"6'1"" - 185 cm","C, RW",Right,5 - Round 1 - 2013 (CAR),,,,BOS,Standard (1-way),,"Jul. 1, 2024",29,,,,7,UFA,UFA,2031,"$7,750,000 ",8.80%,"$7,750,000 ","$7,750,000 ","$7,750,000 ","$7,750,000 ",$0 ,$0 
0,51. Juuse Saros,NSH,30,"Apr. 19, 1995",Finland,180 lbs - 82 kg,"5'11"" - 180 cm",G,Left,99 - Round 4 - 2013 (NSH),,,,NSH,Standard (1-way),✔,"Jul. 1, 2024",30,,,,8,UFA,UFA,2033,"$7,740,000 ",8.80%,"$7,740,000 ","$7,740,000 ","$7,740,000 ","$7,740,000 ",$0 ,$0 
1,52. Jared Spurgeon,MIN,35,"Nov. 29, 1989",Canada,167 lbs - 76 kg,"5'9"" - 175 cm",RD,Right,156 - Round 6 - 2008 (NYI),,,,MIN,Standard (1-way),✔,"Sep. 14, 2019",30,,,M-NTC,7,UFA,UFA,2027,"$7,575,000 ",9.30%,"$7,575,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",$0 ,$0 
2,53. Morgan Rielly,TOR,31,"Mar. 9, 1994",Canada,219 lbs - 99 kg,"6'1"" - 185 cm",LD,Left,5 - Round 1 - 2012 (TOR),,,,TOR,Standard (1-way),✔,"Oct. 29, 2021",28,,,NMC,8,UFA,UFA,2030,"$7,500,000 ",9.20%,"$7,500,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 ,$0 
3,54. Noah Hanifin,VGK,28,"Jan. 25, 1997",United States,215 lbs - 98 kg,"6'3"" - 191 cm",LD,Left,5 - Round 1 - 2015 (CAR),,,,VGK,Standard (1-way),✔,"Apr. 11, 2024",27,,,NTC,8,UFA,UFA,2032,"$7,350,000 ",8.80%,"$7,350,000 ","$9,500,000 ","$1,600,000 ","$9,500,000 ","$7,900,000 ",$0 
4,55. Kyle Connor,WPG,28,"Dec. 9, 1996",United States,182 lbs - 83 kg,"6'1"" - 185 cm",LW,Left,17 - Round 1 - 2015 (WPG),,,,WPG,Standard (1-way),,"Sep. 28, 2019",22,,,M-NTC,7,RFA,UFA,2026,"$7,142,857 ",8.80%,"$7,142,857 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",$0 ,$0 
5,56. Kevin Hayes,PIT,33,8-May-92,United States,216 lbs - 98 kg,"6'5"" - 196 cm",C,Left,24 - Round 1 - 2010 (CHI),,,,PHI,Standard (1-way),✔,"Jun. 18, 2019",27,,,M-NTC,7,UFA,UFA,2026,"$7,142,857 ",9.00%,"$7,142,857 ","$5,250,000 ","$4,000,000 ","$5,250,000 ","$1,250,000 ",$0 
6,57. Brandon Montour,SEA,31,"Apr. 11, 1994",Canada,189 lbs - 86 kg,"6'0"" - 183 cm",RD,Right,55 - Round 2 - 2014 (ANA),,,,SEA,Standard (1-way),,"Jul. 1, 2024",30,,,NTC,7,UFA,UFA,2031,"$7,142,857 ",8.10%,"$7,142,857 ","$7,000,000 ","$5,000,000 ","$7,000,000 ","$2,000,000 ",$0 
7,58. Marc-Édouard Vlasic,SJS,38,"Mar. 30, 1987",Canada,205 lbs - 93 kg,"6'1"" - 185 cm",LD/RD,Left,35 - Round 2 - 2005 (SJS),,,,SJS,Standard (1-way),✔,"Jul. 1, 2017",31,,,M-NTC,8,UFA,UFA,2026,"$7,000,000 ",9.30%,"$7,000,000 ","$5,500,000 ","$3,500,000 ","$5,500,000 ","$2,000,000 ",$0 
8,59. Anze Kopitar,LAK,37,"Aug. 24, 1987",Slovenia,225 lbs - 102 kg,"6'3"" - 191 cm",C,Left,11 - Round 1 - 2005 (LAK),,,,LAK,35+ (1-way),✔,"Jul. 6, 2023",36,,,NMC,2,UFA,UFA,2026,"$7,000,000 ",8.40%,"$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",$0 ,$0 
9,60. Nazem Kadri,CGY,34,"Oct. 6, 1990",Canada,192 lbs - 87 kg,"6'0"" - 183 cm",C,Left,7 - Round 1 - 2009 (TOR),,,,CGY,Standard (1-way),,"Aug. 18, 2022",31,,,NMC,7,UFA,UFA,2029,"$7,000,000 ",8.50%,"$7,000,000 ","$7,000,000 ","$4,500,000 ","$7,000,000 ","$2,500,000 ",$0 
10,61. Gabriel Landeskog,COL,32,"Nov. 23, 1992",Sweden,215 lbs - 98 kg,"6'1"" - 185 cm","LW, C",Left,2 - Round 1 - 2011 (COL),,,,COL,Standard (1-way),✔,"Jul. 27, 2021",28,,,"M-NTC, NMC",8,UFA,UFA,2029,"$7,000,000 ",8.60%,"$7,000,000 ","$7,500,000 ","$7,500,000 ","$7,500,000 ",$0 ,$0 
11,62. Brady Skjei,NSH,31,"Mar. 26, 1994",United States,210 lbs - 95 kg,"6'3"" - 191 cm",LD,Left,28 - Round 1 - 2012 (NYR),,,,NSH,Standard (1-way),,"Jul. 1, 2024",30,,,,7,UFA,UFA,2031,"$7,000,000 ",8.00%,"$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",$0 ,$0 
12,63. Anders Lee,NYI,34,"Jul. 3, 1990",United States,231 lbs - 105 kg,"6'3"" - 191 cm",LW,Left,152 - Round 6 - 2009 (NYI),,,,NYI,Standard (1-way),,"Jul. 1, 2019",28,,,M-NTC,7,UFA,UFA,2026,"$7,000,000 ",8.60%,"$7,000,000 ","$4,500,000 ","$4,500,000 ","$4,500,000 ",$0 ,$0 
13,64. Ryan McDonagh,TBL,36,"Jun. 13, 1989",United States,214 lbs - 97 kg,"6'1"" - 185 cm",LD,Left,12 - Round 1 - 2007 (MTL),,,,TBL,Standard (1-way),✔,"Jul. 1, 2018",30,,,M-NTC,7,UFA,UFA,2026,"$6,750,000 ",8.50%,"$6,750,000 ","$4,200,000 ","$4,200,000 ","$4,200,000 ",$0 ,$0 
14,65. Torey Krug,STL,34,"Apr. 12, 1991",United States,186 lbs - 84 kg,"5'9"" - 175 cm",LD,Left,,,,,STL,Standard (1-way),,"Oct. 9, 2020",29,,,M-NTC,7,UFA,UFA,2027,"$6,500,000 ",8.00%,"$6,500,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ",$0 ,$0 
15,66. Hampus Lindholm,BOS,31,"Jan. 20, 1994",Sweden,208 lbs - 94 kg,"6'3"" - 191 cm",LD,Left,6 - Round 1 - 2012 (ANA),,,,BOS,Standard (1-way),✔,"Mar. 20, 2022",28,,,"NTC, NMC",8,UFA,UFA,2030,"$6,500,000 ",8.00%,"$6,500,000 ","$8,000,000 ","$6,000,000 ","$8,000,000 ","$2,000,000 ",$0 
16,67. Tom Wilson,WSH,31,"Mar. 29, 1994",Canada,220 lbs - 100 kg,"6'4"" - 193 cm",RW,Right,16 - Round 1 - 2012 (WSH),,,,WSH,Standard (1-way),✔,"Aug. 4, 2023",30,,,M-NTC,7,UFA,UFA,2031,"$6,500,000 ",7.80%,"$6,500,000 ","$7,500,000 ","$4,500,000 ","$7,500,000 ","$3,000,000 ",$0 
17,68. Brendan Gallagher,MTL,33,6-May-92,Canada,186 lbs - 84 kg,"5'9"" - 175 cm","RW, LW",Right,147 - Round 5 - 2010 (MTL),,,,MTL,Standard (1-way),✔,"Oct. 14, 2020",29,,,"M-NTC, NMC",6,UFA,UFA,2027,"$6,500,000 ",8.00%,"$6,500,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ",$0 ,$0 
