,Unnamed: 0,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
13,13,Andrei Vasilevskiy,TBL,25,"Jul. 25, 1994",Russia,216 lbs - 98 kg,"6'3"" - 191 cm",G,Left,19 - Round 1 - 2012 (TBL),,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,10,5,2.21,0.925,2.21,2.51,0.3,TBL,Standard (1-way),✔,"Jul. 29, 2019",25,✔,,,8,RFA,UFA,2028,"$9,500,000 ",11.70%,"$9,500,000 ","$12,000,000 ","$3,500,000 ","$12,000,000 ","$8,500,000 ",$0 
14,14,Mark Stone,VGK,28,13-May-92,Canada,202 lbs - 92 kg,"6'3"" - 191 cm",RW,Right,178 - Round 6 - 2010 (OTT),,,,55,21,40,61,1.11,26,98,0.21,19:03,16.28,97,172,144,0.95,5.64,10.01,8.38,634,438,59.14,1148,858,57.23,881,613,58.97,66.98,38.84,63.3,,,,,,,,,VGK,Standard (1-way),✔,"Mar. 8, 2019",27,,,NMC,8,UFA,UFA,2027,"$9,500,000 ",11.90%,"$9,500,000 ","$8,000,000 ","$1,000,000 ","$8,000,000 ","$7,000,000 ",$0 
15,15,Jamie Benn,DAL,30,"Jul. 18, 1989",Canada,210 lbs - 95 kg,"6'2"" - 188 cm","LW, C",Left,129 - Round 5 - 2007 (DAL),,,,52,11,24,35,0.67,13,124,0.09,17:47,12.87,124,209,165,0.84,8.05,13.56,10.71,520,357,59.29,979,710,57.96,733,537,57.72,53.1,35.42,59.99,,,,,,,,,DAL,Standard (1-way),✔,"Jul. 15, 2016",27,,,NMC,8,UFA,UFA,2025,"$9,500,000 ",13.00%,"$9,500,000 ","$9,000,000 ","$1,000,000 ","$9,000,000 ","$8,000,000 ",$0 
16,16,Evgeni Malkin,PIT,33,"Jul. 31, 1986",Russia,195 lbs - 88 kg,"6'3"" - 191 cm",C,Left,2 - Round 1 - 2004 (PIT),,,,33,8,20,28,0.85,-4,72,0.11,17:44,6.06,72,126,92,0.62,7.38,12.91,9.43,343,266,56.32,616,443,58.17,464,335,58.07,35.97,28.59,55.72,,,,,,,,,PIT,Standard (1-way),✔,"Jul. 1, 2013",27,,,NMC,8,UFA,UFA,2022,"$9,500,000 ",14.80%,"$9,500,000 ","$9,500,000 ","$4,500,000 ","$9,500,000 ","$5,000,000 ",$0 
17,17,Mikko Rantanen,COL,23,"Oct. 29, 1996",Finland,215 lbs - 98 kg,"6'4"" - 193 cm","RW, C",Left,10 - Round 1 - 2015 (COL),,,,52,30,36,66,1.27,30,177,0.17,19:55,20.03,171,298,230,1.2,10.22,17.8,13.74,716,338,67.93,1338,597,69.15,980,451,68.48,76.39,28.06,73.14,,,,,,,,,COL,Standard (1-way),,"Sep. 28, 2019",22,,,,6,RFA,UFA,2025,"$9,250,000 ",11.30%,"$9,250,000 ","$12,000,000 ","$12,000,000 ","$12,000,000 ",$0 ,$0 
18,18,Nicklas Bäckström,WSH,32,"Nov. 23, 1987",Sweden,206 lbs - 93 kg,"6'1"" - 185 cm",C,Left,4 - Round 1 - 2006 (WSH),,,,55,15,38,53,0.96,0,91,0.16,18:35,10.39,90,160,125,0.62,5.38,9.56,7.47,550,418,56.82,1009,775,56.56,768,592,56.47,51.31,39.32,56.61,,,,,,,,,WSH,Standard (1-way),✔,"Jan. 14, 2020",32,,,NMC,5,UFA,UFA,2025,"$9,200,000 ",11.30%,"$9,200,000 ","$12,000,000 ","$6,000,000 ","$12,000,000 ","$6,000,000 ",$0 
19,19,Roman Josi,NSH,30,"Jun. 1, 1990",Switzerland,201 lbs - 91 kg,"6'1"" - 185 cm",LD,Left,38 - Round 2 - 2008 (NSH),,,,48,8,25,33,0.69,-11,141,0.06,24:20:00,8,141,290,202,0.41,7.24,14.89,10.38,689,547,55.74,1243,982,55.87,948,742,56.09,60.23,49.84,54.72,,,,,,,,,NSH,Standard (1-way),✔,"Oct. 29, 2019",30,,,NMC,8,UFA,UFA,2028,"$9,059,000 ",11.10%,"$9,059,000 ","$11,750,000 ","$750,000 ","$11,750,000 ","$11,000,000 ",$0 
20,20,Jeff Skinner,BUF,28,16-May-92,Canada,195 lbs - 88 kg,"5'11"" - 180 cm","LW, RW",Left,7 - Round 1 - 2010 (CAR),,,,53,7,7,14,0.26,-11,111,0.06,14:31,10.42,111,189,153,0.81,8.68,14.78,11.96,364,354,50.7,669,630,51.5,520,499,51.03,29.31,30.6,48.92,,,,,,,,,BUF,Standard (1-way),✔,"Jun. 7, 2019",27,,,NMC,8,UFA,UFA,2027,"$9,000,000 ",11.30%,"$9,000,000 ","$10,000,000 ","$2,500,000 ","$10,000,000 ","$7,500,000 ",$0 
21,21,P.K. Subban,,31,13-May-89,Canada,210 lbs - 95 kg,"6'0"" - 183 cm",RD,Right,43 - Round 2 - 2007 (MTL),,,,44,5,14,19,0.43,-16,99,0.05,22:21,4.38,99,195,138,0.27,6.04,11.89,8.42,496,521,48.77,909,833,52.18,689,676,50.48,42.01,49.96,45.68,,,,,,,,,MTL,Standard (1-way),,"Aug. 2, 2014",25,✔,✔,,8,RFA,UFA,2022,"$9,000,000 ",13.00%,"$9,000,000 ","$8,000,000 ","$2,000,000 ","$8,000,000 ","$6,000,000 ",$0 
22,22,Alex Pietrangelo,VGK,30,"Jan. 18, 1990",Canada,210 lbs - 95 kg,"6'3"" - 191 cm",RD,Right,4 - Round 1 - 2008 (STL),,,,41,7,16,23,0.56,20,126,0.06,24:25:00,6.09,119,267,173,0.37,7.27,16.32,10.57,549,477,53.51,1056,928,53.23,764,670,53.28,56.65,46.29,55.03,,,,,,,,,VGK,Standard (1-way),,"Oct. 12, 2020",30,,,NMC,7,UFA,UFA,2027,"$8,800,000 ",10.80%,"$8,800,000 ","$5,000,000 ","$2,000,000 ","$5,000,000 ","$3,000,000 ",$0 
23,23,Sidney Crosby,PIT,32,"Aug. 7, 1987",Canada,200 lbs - 91 kg,"5'11"" - 180 cm",C,Left,1 - Round 1 - 2005 (PIT),,,,55,24,38,62,1.13,8,159,0.15,20:23,19.66,159,251,208,1.05,8.51,13.44,11.13,663,513,56.38,1164,864,57.4,892,684,56.6,67.58,47.88,58.53,,,,,,,,,PIT,Standard (1-way),✔,"Jul. 1, 2012",25,,,NMC,12,UFA,UFA,2025,"$8,700,000 ",14.50%,"$8,700,000 ","$9,600,000 ","$9,600,000 ","$9,600,000 ",$0 ,$0 
24,24,Leon Draisaitl,EDM,24,"Oct. 27, 1995",Germany,208 lbs - 94 kg,"6'2"" - 188 cm","C, LW",Left,3 - Round 1 - 2014 (EDM),,,,56,31,53,84,1.5,29,168,0.18,22:11,21.77,162,293,220,1.08,8.07,14.6,10.96,766,555,57.99,1358,991,57.81,1035,758,57.72,87.85,52.86,62.43,,,,,,,,,EDM,Standard (1-way),,"Aug. 16, 2017",21,,,,8,RFA,UFA,2025,"$8,500,000 ",11.30%,"$8,500,000 ","$9,000,000 ","$2,000,000 ","$9,000,000 ","$7,000,000 ",$0 
25,25,Steven Stamkos,TBL,30,"Feb. 7, 1990",Canada,194 lbs - 88 kg,"6'1"" - 185 cm","LW, C",Right,1 - Round 1 - 2008 (TBL),,,,38,17,17,34,0.89,4,91,0.19,18:16,10.81,91,153,120,0.93,7.87,13.23,10.37,410,336,54.96,741,536,58.03,561,430,56.61,40.9,30.59,57.21,,,,,,,,,TBL,Standard (1-way),✔,"Jun. 29, 2016",26,,,NMC,8,UFA,UFA,2024,"$8,500,000 ",11.60%,"$8,500,000 ","$9,500,000 ","$1,000,000 ","$9,500,000 ","$8,500,000 ",$0 
26,26,Sebastian Aho,CAR,22,"Jul. 26, 1997",Finland,176 lbs - 80 kg,"6'0"" - 183 cm",C,Left,35 - Round 2 - 2015 (CAR),,,,56,24,33,57,1.02,16,148,0.16,19:28,20.49,148,251,208,1.12,8.15,13.82,11.45,697,484,59.02,1286,843,60.4,957,644,59.78,82.48,51.9,61.38,,,,,,,,,CAR,Standard (1-way),,"Jul. 1, 2019",21,,,,5,RFA,UFA,2024,"$8,460,250 ",10.40%,"$8,460,250 ","$10,570,000 ","$700,000 ","$10,570,000 ","$9,870,000 ",$0 
27,27,Claude Giroux,OTT,32,"Jan. 12, 1988",Canada,185 lbs - 84 kg,"5'11"" - 180 cm","RW, C",Right,22 - Round 1 - 2006 (PHI),,,,54,16,27,43,0.8,-4,120,0.13,18:06,12.76,120,211,176,0.78,7.36,12.95,10.8,591,416,58.69,1082,730,59.71,821,560,59.45,56.04,37.47,59.92,,,,,,,,,PHI,Standard (1-way),✔,"Jul. 4, 2013",26,✔,,NMC,8,RFA,UFA,2022,"$8,275,000 ",12.90%,"$8,275,000 ","$7,200,000 ","$7,200,000 ","$7,200,000 ",$0 ,$0 
28,28,Blake Wheeler,NYR,33,"Aug. 31, 1986",United States,225 lbs - 102 kg,"6'5"" - 196 cm",RW,Right,5 - Round 1 - 2004 (ARI),,,,50,15,31,46,0.92,-17,113,0.13,18:20,12.11,110,166,141,0.82,7.48,11.29,9.59,496,426,53.8,884,755,53.94,676,572,54.17,49.99,50.55,49.72,,,,,,,,,WPG,Standard (1-way),✔,"Sep. 4, 2018",32,,,NMC,5,UFA,UFA,2024,"$8,250,000 ",10.40%,"$8,250,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ",$0 ,$0 
29,29,Oliver Ekman-Larsson,FLA,28,"Jul. 17, 1991",Sweden,200 lbs - 91 kg,"6'2"" - 188 cm",LD,Left,6 - Round 1 - 2009 (ARI),,,,46,3,21,24,0.52,-17,83,0.04,20:58,3.18,83,175,122,0.2,5.16,10.89,7.59,431,506,46,807,863,48.32,610,693,46.82,36.9,47.36,43.79,,,,,,,,,ARI,Standard (1-way),✔,"Jul. 1, 2018",27,,,NMC,8,UFA,UFA,2027,"$8,250,000 ",10.40%,"$8,250,000 ","$8,000,000 ","$4,000,000 ","$8,000,000 ","$4,000,000 ",$0 
30,30,Jakub Voracek,,30,"Aug. 15, 1989",Czech Republic,214 lbs - 97 kg,"6'2"" - 188 cm","RW, LW",Left,7 - Round 1 - 2007 (CBJ),,,,53,9,34,43,0.81,-12,104,0.09,16:55,10.06,104,195,142,0.67,6.96,13.05,9.5,503,401,55.64,955,693,57.95,712,533,57.19,47.92,37.32,56.22,,,,,,,,,PHI,Standard (1-way),✔,"Jul. 30, 2015",25,,,,8,UFA,UFA,2024,"$8,250,000 ",11.60%,"$8,250,000 ","$6,250,000 ","$2,250,000 ","$6,250,000 ","$4,000,000 ",$0 
31,31,Ryan Getzlaf,,35,10-May-85,Canada,228 lbs - 103 kg,"6'3"" - 191 cm",C,Right,19 - Round 1 - 2003 (ANA),,,,48,5,12,17,0.35,-14,70,0.07,16:34,8.48,70,133,100,0.64,5.28,10.02,7.54,378,354,51.64,781,644,54.81,558,487,53.4,37.89,34.76,52.15,,,,,,,,,ANA,Standard (1-way),✔,"Mar. 8, 2013",27,,,NMC,8,UFA,UFA,2021,"$8,250,000 ",12.80%,"$8,250,000 ","$6,000,000 ","$3,000,000 ","$6,000,000 ","$3,000,000 ",$0 
32,32,Taylor Hall,CHI,28,"Nov. 14, 1991",Canada,205 lbs - 93 kg,"6'1"" - 185 cm",LW,Left,1 - Round 1 - 2010 (EDM),,,,53,10,23,33,0.62,-6,136,0.07,17:51,13.18,136,236,185,0.84,8.61,14.96,11.73,567,397,58.82,1034,654,61.26,806,509,61.29,52.82,39.6,57.15,,,,,,,,,BUF,Standard (1-way),,"Oct. 11, 2020",28,,,NMC,1,UFA,UFA,2021,"$8,000,000 ",9.80%,"$8,000,000 ","$8,000,000 ","$7,000,000 ","$8,000,000 ","$1,000,000 ",$0 
33,33,Thomas Chabot,OTT,23,"Jan. 30, 1997",Canada,196 lbs - 89 kg,"6'2"" - 188 cm",LD,Left,18 - Round 1 - 2015 (OTT),,,,49,6,25,31,0.63,-15,120,0.05,26:17:00,5.4,120,241,162,0.25,5.59,11.24,7.55,692,645,51.76,1287,1205,51.65,978,901,52.05,67.23,59.84,52.91,,,,,,,,,OTT,Standard (1-way),✔,"Sep. 19, 2019",23,,,,8,RFA,UFA,2028,"$8,000,000 ",9.80%,"$8,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",$0 ,$0 
34,34,Jacob Trouba,NYR,26,"Feb. 26, 1994",United States,209 lbs - 95 kg,"6'3"" - 191 cm",RD,Right,9 - Round 1 - 2012 (WPG),,,,38,2,10,12,0.32,3,70,0.03,21:29,3.36,70,156,99,0.25,5.14,11.46,7.27,391,395,49.75,694,762,47.66,533,550,49.22,36.42,35.75,50.46,,,,,,,,,NYR,Standard (1-way),,"Jul. 19, 2019",25,✔,✔,NMC,7,RFA,UFA,2026,"$8,000,000 ",9.80%,"$8,000,000 ","$10,000,000 ","$2,000,000 ","$10,000,000 ","$8,000,000 ",$0 
35,35,Matt Duchene,DAL,29,"Jan. 16, 1991",Canada,195 lbs - 88 kg,"5'11"" - 180 cm","RW, C",Left,3 - Round 1 - 2009 (COL),,,,34,6,7,13,0.38,-12,73,0.08,15:49,8.39,73,126,102,0.94,8.14,14.04,11.37,373,267,58.28,643,447,58.99,496,343,59.12,30.75,23.8,56.37,,,,,,,,,NSH,Standard (1-way),,"Jul. 1, 2019",28,,,,7,UFA,UFA,2026,"$8,000,000 ",9.80%,"$8,000,000 ","$8,000,000 ","$3,000,000 ","$8,000,000 ","$5,000,000 ",$0 
36,36,Logan Couture,SJS,31,"Mar. 28, 1989",Canada,200 lbs - 91 kg,"6'1"" - 185 cm",C,Left,9 - Round 1 - 2007 (SJS),,,,53,17,14,31,0.58,-11,114,0.15,19:15,14.11,114,196,154,0.83,6.7,11.51,9.05,544,555,49.5,1011,971,51.01,757,758,49.97,56.87,53.72,51.42,,,,,,,,,SJS,Standard (1-way),✔,"Jul. 1, 2018",30,,,M-NTC,8,UFA,UFA,2027,"$8,000,000 ",10.10%,"$8,000,000 ","$9,000,000 ","$4,000,000 ","$9,000,000 ","$5,000,000 ",$0 
37,37,John Carlson,WSH,30,"Jan. 10, 1990",United States,217 lbs - 98 kg,"6'3"" - 191 cm",RD,Right,27 - Round 1 - 2008 (WSH),,,,52,10,34,44,0.85,-5,128,0.08,23:46,7.98,128,251,191,0.39,6.21,12.18,9.27,656,579,53.12,1201,1064,53.02,929,826,52.93,65.87,56.49,53.83,,,,,,,,,WSH,Standard (1-way),✔,"Jun. 25, 2018",28,,,M-NTC,8,UFA,UFA,2026,"$8,000,000 ",10.10%,"$8,000,000 ","$8,000,000 ","$6,000,000 ","$8,000,000 ","$2,000,000 ",$0 
38,38,Ryan Johansen,PHI,27,"Jul. 31, 1992",Canada,218 lbs - 99 kg,"6'3"" - 191 cm","C, RW",Right,4 - Round 1 - 2010 (CBJ),,,,48,7,15,22,0.46,0,67,0.1,16:56,8.44,67,105,87,0.62,4.94,7.75,6.42,487,366,57.09,854,656,56.56,660,499,56.95,40.59,35.36,53.44,,,,,,,,,NSH,Standard (1-way),,"Jul. 28, 2017",24,✔,,,8,RFA,UFA,2025,"$8,000,000 ",10.70%,"$8,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 ,$0 
39,39,Brent Burns,CAR,35,"Mar. 9, 1985",Canada,230 lbs - 104 kg,"6'5"" - 196 cm",RD,Right,20 - Round 1 - 2003 (MIN),,,,56,7,22,29,0.52,-13,138,0.05,26:08:00,7.68,137,288,190,0.32,5.71,12,7.92,740,774,48.88,1331,1423,48.33,1005,1069,48.46,79.22,73.72,51.8,,,,,,,,,SJS,Standard (1-way),✔,"Nov. 22, 2016",32,,,M-NTC,8,UFA,UFA,2025,"$8,000,000 ",11.00%,"$8,000,000 ","$10,000,000 ","$2,000,000 ","$10,000,000 ","$8,000,000 ",$0 
40,40,Phil Kessel,,32,"Oct. 2, 1987",United States,202 lbs - 92 kg,"6'0"" - 183 cm",RW,Right,5 - Round 1 - 2006 (BOS),,,,56,20,23,43,0.77,-17,115,0.17,17:05,11.09,115,206,144,0.7,7.21,12.92,9.02,473,438,51.92,884,784,53,651,612,51.54,43.82,47.45,48.01,,,,,,,,,TOR,Standard (1-way),✔,"Oct. 1, 2013",25,,,"M-NTC, NMC",8,UFA,UFA,2022,"$8,000,000 ",12.40%,"$8,000,000 ","$6,000,000 ","$1,000,000 ","$6,000,000 ","$5,000,000 ",$0 
41,41,Victor Hedman,TBL,29,"Dec. 18, 1990",Sweden,229 lbs - 104 kg,"6'6"" - 198 cm",LD,Left,2 - Round 1 - 2009 (TBL),,,,54,9,36,45,0.83,5,136,0.07,25:02:00,7.81,136,316,207,0.35,6.03,14.02,9.18,722,619,53.84,1279,1037,55.22,980,805,54.9,68.72,58.97,53.82,,,,,,,,,TBL,Standard (1-way),✔,"Jul. 1, 2016",25,,,NMC,8,UFA,UFA,2025,"$7,875,000 ",10.80%,"$7,875,000 ","$8,000,000 ","$5,000,000 ","$8,000,000 ","$3,000,000 ",$0 
42,42,Shea Weber,UTA,34,"Aug. 14, 1985",Canada,230 lbs - 104 kg,"6'4"" - 193 cm",RD,Right,49 - Round 2 - 2003 (NSH),,,,48,6,13,19,0.4,-4,104,0.06,22:42,3.71,104,215,146,0.2,5.73,11.84,8.03,583,549,51.5,1036,985,51.26,777,755,50.72,49.52,53.98,47.85,,,,,,,,,NSH,Standard (1-way),,"Jul. 24, 2012",26,✔,,,14,RFA,UFA,2026,"$7,857,143 ",13.10%,"$7,857,143 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",$0 ,$0 
43,43,Evgeny Kuznetsov,CAR,28,19-May-92,Russia,197 lbs - 89 kg,"6'2"" - 188 cm",C,Left,26 - Round 1 - 2010 (WSH),,,,41,9,20,29,0.71,7,78,0.12,16:34,7.26,78,122,102,0.64,6.89,10.77,9.01,367,296,55.35,673,518,56.51,529,414,56.1,36.19,27.52,56.8,,,,,,,,,WSH,Standard (1-way),,"Jul. 2, 2017",25,✔,,M-NTC,8,RFA,UFA,2025,"$7,800,000 ",10.40%,"$7,800,000 ","$5,000,000 ","$3,000,000 ","$5,000,000 ","$2,000,000 ",$0 
44,44,Jared Spurgeon,MIN,30,"Nov. 29, 1989",Canada,167 lbs - 76 kg,"5'9"" - 175 cm",RD,Right,156 - Round 6 - 2008 (NYI),,,,54,7,18,25,0.46,-2,94,0.07,22:05,5.82,94,189,135,0.3,4.8,9.67,6.9,611,581,51.26,1081,1104,49.47,817,807,50.31,55.24,47.24,53.9,,,,,,,,,MIN,Standard (1-way),✔,"Sep. 14, 2019",30,,,NMC,7,UFA,UFA,2027,"$7,575,000 ",9.30%,"$7,575,000 ","$9,000,000 ","$5,000,000 ","$9,000,000 ","$4,000,000 ",$0 
