,Unnamed: 0,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
10,10,Aleksander Barkov,FLA,27,"Sep. 2, 1995",Finland,210 lbs - 95 kg,"6'3"" - 191 cm",C,Left,2 - Round 1 - 2013 (FLA),,,,73,23,57,80,1.1,33,193,0.12,19:38,25.66,193,372,284,1.07,8.08,15.57,11.89,941,583,61.75,1878,1147,62.08,1354,836,61.83,120.32,66.9,64.27,,,,,,,,,FLA,Standard (1-way),Yes,"Oct. 8, 2021",26,,,NMC,8,UFA,UFA,2030,"$10,000,000 ",12.30%,"$10,000,000 ","$12,000,000 ","$1,000,000 ","$12,000,000 ","$11,000,000 ",$0 
11,11,Jack Eichel,VGK,26,"Oct. 28, 1996",United States,203 lbs - 92 kg,"6'2"" - 188 cm",C,Right,2 - Round 1 - 2015 (BUF),,,,63,31,37,68,1.08,4,278,0.11,20:31,24.7,272,425,342,1.15,12.81,20.02,16.11,787,627,55.66,1446,1230,54.04,1070,852,55.67,86.42,68.36,55.83,,,,,,,,,BUF,Standard (1-way),Yes,"Oct. 3, 2017",21,,,NMC,8,RFA,UFA,2026,"$10,000,000 ",13.30%,"$10,000,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ",$0 ,$0 
12,12,Sergei Bobrovsky,FLA,34,"Sep. 20, 1988",Russia,187 lbs - 85 kg,"6'2"" - 188 cm",G,Left,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,17,6,2.37,0.915,2.37,2.69,0.32,FLA,Standard (1-way),,"Jul. 1, 2019",30,,,NMC,7,UFA,UFA,2026,"$10,000,000 ",12.30%,"$10,000,000 ","$10,000,000 ","$5,000,000 ","$10,000,000 ","$5,000,000 ",$0 
13,13,Anze Kopitar,LAK,35,"Aug. 24, 1987",Slovenia,225 lbs - 102 kg,"6'3"" - 191 cm",C,Left,11 - Round 1 - 2005 (LAK),,,,81,26,44,70,0.86,11,133,0.2,19:39,17.84,131,228,179,0.68,5,8.69,6.83,833,707,54.09,1694,1432,54.19,1205,1031,53.89,97.4,82.28,54.21,,,,,,,,,LAK,Standard (1-way),Yes,"Jan. 16, 2016",28,,,NMC,8,UFA,UFA,2024,"$10,000,000 ",14.00%,"$10,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",$0 ,$0 
14,14,Tyler Seguin,DAL,31,"Jan. 31, 1992",Canada,200 lbs - 91 kg,"6'1"" - 185 cm","C, RW",Right,2 - Round 1 - 2010 (BOS),,,,68,25,27,52,0.76,10,154,0.16,16:32,19.82,154,271,212,1.06,8.21,14.45,11.31,569,572,49.87,1192,1129,51.36,852,831,50.62,73.77,57.38,56.25,,,,,,,,,DAL,Standard (1-way),Yes,"Sep. 13, 2018",27,,,NMC,8,UFA,UFA,2027,"$9,850,000 ",12.40%,"$9,850,000 ","$8,450,000 ","$2,950,000 ","$8,450,000 ","$5,500,000 ",$0 
15,15,Johnny Gaudreau,CBJ,29,"Aug. 13, 1993",United States,165 lbs - 75 kg,"5'9"" - 175 cm",LW,Left,104 - Round 4 - 2011 (CGY),,,,81,12,48,60,0.74,-27,160,0.08,18:48,19.55,161,313,217,0.77,6.34,12.32,8.53,908,768,54.18,1838,1466,55.63,1319,1068,55.26,105.82,84.44,55.62,,,,,,,,,CBJ,Standard (1-way),,"Jul. 13, 2022",28,,,NMC,7,UFA,UFA,2029,"$9,750,000 ",11.80%,"$9,750,000 ","$9,750,000 ","$7,750,000 ","$9,750,000 ","$2,000,000 ",$0 
16,16,Zachary Werenski,CBJ,25,"Jul. 19, 1997",United States,212 lbs - 96 kg,"6'2"" - 188 cm",LD,Left,8 - Round 1 - 2015 (CBJ),,,,70,11,46,57,0.81,0,202,0.05,24:27:00,12.42,202,442,285,0.44,7.08,15.49,9.99,993,945,51.24,2006,1845,52.09,1426,1350,51.37,107.48,104.52,50.7,,,,,,,,,CBJ,Standard (1-way),,"Jul. 29, 2021",24,Yes,,NMC,6,RFA,UFA,2028,"$9,583,333 ",11.80%,"$9,583,333 ","$12,000,000 ","$10,000,000 ","$12,000,000 ","$2,000,000 ",$0 
17,17,Nikita Kucherov,TBL,30,"Jun. 17, 1993",Russia,180 lbs - 82 kg,"5'11"" - 180 cm",RW,Left,58 - Round 2 - 2011 (TBL),,,,81,44,100,144,1.78,8,306,0.14,21:40,36.13,306,635,458,1.24,10.47,21.72,15.67,1145,778,59.54,2299,1461,61.14,1682,1087,60.74,146.96,91.29,61.68,,,,,,,,,TBL,Standard (1-way),Yes,"Jul. 10, 2018",26,Yes,,NMC,8,RFA,UFA,2027,"$9,500,000 ",11.90%,"$9,500,000 ","$10,000,000 ","$5,000,000 ","$10,000,000 ","$5,000,000 ",$0 
18,18,Alex Ovechkin,WSH,37,"Sep. 17, 1985",Russia,236 lbs - 107 kg,"6'3"" - 191 cm",LW,Right,1 - Round 1 - 2004 (WSH),,,,79,31,34,65,0.82,-22,272,0.11,19:13,32.58,272,605,395,1.29,10.75,23.91,15.61,895,701,56.08,1854,1381,57.31,1305,1016,56.23,122.74,79.98,60.55,,,,,,,,,WSH,35+ (1-way),Yes,"Jul. 27, 2021",35,,,"M-NTC, NMC",5,UFA,UFA,2026,"$9,500,000 ",11.70%,"$9,500,000 ","$12,500,000 ","$1,000,000 ","$12,500,000 ","$11,500,000 ",$0 
19,19,Mark Stone,VGK,31,13-May-92,Canada,202 lbs - 92 kg,"6'3"" - 191 cm",RW,Right,178 - Round 6 - 2010 (OTT),,,,56,16,37,53,0.95,1,117,0.14,19:24,18.03,117,212,162,1,6.46,11.7,8.94,654,518,55.8,1222,1068,53.36,899,751,54.48,74.39,55.94,57.08,,,,,,,,,VGK,Standard (1-way),Yes,"Mar. 8, 2019",27,,,NMC,8,UFA,UFA,2027,"$9,500,000 ",11.90%,"$9,500,000 ","$11,000,000 ","$6,000,000 ","$11,000,000 ","$5,000,000 ",$0 
20,20,Adam Fox,NYR,25,"Feb. 17, 1998",United States,181 lbs - 82 kg,"5'11"" - 180 cm",RD,Right,66 - Round 3 - 2016 (CGY),,,,72,17,56,73,1.01,21,137,0.12,23:26,10.71,137,299,195,0.38,4.87,10.63,6.93,1032,695,59.76,2073,1413,59.47,1535,1016,60.17,124.68,78.42,61.39,,,,,,,,,NYR,Standard (1-way),Yes,"Nov. 1, 2021",24,Yes,,,7,RFA,UFA,2029,"$9,500,000 ",11.70%,"$9,500,000 ","$12,000,000 ","$12,000,000 ","$12,000,000 ",$0 ,$0 
21,21,Seth Jones,CHI,28,"Oct. 3, 1994",United States,209 lbs - 95 kg,"6'4"" - 193 cm",RD,Right,4 - Round 1 - 2013 (NSH),,,,67,8,23,31,0.46,-15,172,0.05,25:29:00,9.19,172,374,237,0.33,6.13,13.34,8.44,848,830,50.54,1624,1622,50.03,1182,1185,49.94,91.88,99.43,48.03,,,,,,,,,CHI,Standard (1-way),Yes,"Jul. 23, 2021",27,,,NMC,8,UFA,UFA,2030,"$9,500,000 ",11.70%,"$9,500,000 ","$12,500,000 ","$7,500,000 ","$12,500,000 ","$5,000,000 ",$0 
22,22,Jamie Benn,DAL,33,"Jul. 18, 1989",Canada,210 lbs - 95 kg,"6'2"" - 188 cm","LW, C",Left,129 - Round 5 - 2007 (DAL),,,,82,21,39,60,0.73,8,164,0.13,15:07,23.6,164,296,224,1.13,7.94,14.32,10.84,761,588,56.41,1536,1186,56.43,1087,843,56.32,94.02,58.37,61.7,,,,,,,,,DAL,Standard (1-way),Yes,"Jul. 15, 2016",27,,,NMC,8,UFA,UFA,2025,"$9,500,000 ",13.00%,"$9,500,000 ","$6,500,000 ","$1,000,000 ","$6,500,000 ","$5,500,000 ",$0 
23,23,Brayden Point,TBL,27,"Mar. 13, 1996",Canada,166 lbs - 75 kg,"5'10"" - 178 cm","C, RW",Right,79 - Round 3 - 2014 (TBL),,,,81,46,44,90,1.11,-16,227,0.2,20:02,35.15,229,422,322,1.3,8.47,15.61,11.91,1040,739,58.46,2070,1381,59.98,1510,1023,59.61,128.22,88.06,59.29,,,,,,,,,TBL,Standard (1-way),Yes,"Jul. 28, 2021",26,Yes,,NMC,8,RFA,UFA,2030,"$9,500,000 ",11.70%,"$9,500,000 ","$11,250,000 ","$5,000,000 ","$11,250,000 ","$6,250,000 ",$0 
24,24,Charlie McAvoy,BOS,25,"Dec. 21, 1997",United States,208 lbs - 94 kg,"6'0"" - 183 cm",RD,Right,14 - Round 1 - 2016 (BOS),,,,74,12,35,47,0.64,4,133,0.09,24:50:00,9.57,133,288,198,0.31,4.34,9.4,6.46,973,899,51.98,1875,1787,51.2,1381,1290,51.7,114.55,97.76,53.95,,,,,,,,,BOS,Standard (1-way),Yes,"Oct. 15, 2021",24,Yes,,,8,RFA,UFA,2030,"$9,500,000 ",11.70%,"$9,500,000 ","$11,000,000 ","$7,750,000 ","$11,000,000 ","$3,250,000 ",$0 
25,25,Matthew Tkachuk,FLA,25,"Dec. 11, 1997",United States,202 lbs - 92 kg,"6'2"" - 188 cm",RW,Left,6 - Round 1 - 2016 (CGY),,,,80,26,62,88,1.1,19,280,0.09,18:38,40.9,281,501,395,1.65,11.31,20.16,15.89,1079,657,62.15,2219,1142,66.02,1558,900,63.38,140.78,66.3,67.98,,,,,,,,,CGY,Standard (1-way),,"Jul. 22, 2022",24,Yes,Yes,NMC,8,RFA,UFA,2030,"$9,500,000 ",11.50%,"$9,500,000 ","$11,250,000 ","$1,000,000 ","$11,250,000 ","$10,250,000 ",$0 
26,26,Andrei Vasilevskiy,TBL,28,"Jul. 25, 1994",Russia,216 lbs - 98 kg,"6'3"" - 191 cm",G,Left,19 - Round 1 - 2012 (TBL),,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,2,2.9,0.9,2.9,2.9,0,TBL,Standard (1-way),Yes,"Jul. 29, 2019",25,Yes,,NMC,8,RFA,UFA,2028,"$9,500,000 ",11.70%,"$9,500,000 ","$9,000,000 ","$4,000,000 ","$9,000,000 ","$5,000,000 ",$0 
27,27,Mikko Rantanen,COL,26,"Oct. 29, 1996",Finland,215 lbs - 98 kg,"6'4"" - 193 cm","RW, C",Left,10 - Round 1 - 2015 (COL),,,,80,42,62,104,1.3,19,271,0.16,22:54,33.67,268,521,395,1.11,8.86,17.23,13.07,1251,793,61.2,2426,1537,61.22,1763,1124,61.07,142.61,84.65,62.75,,,,,,,,,COL,Standard (1-way),,"Sep. 28, 2019",22,,,M-NTC,6,RFA,UFA,2025,"$9,250,000 ",11.30%,"$9,250,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 ",$0 ,$0 
28,28,Darnell Nurse,EDM,28,"Feb. 4, 1995",Canada,221 lbs - 100 kg,"6'4"" - 193 cm",LD,Left,7 - Round 1 - 2013 (EDM),,,,81,10,22,32,0.4,3,181,0.06,21:53,9.11,180,398,255,0.31,6.17,13.64,8.74,897,939,48.86,1771,1813,49.41,1274,1324,49.04,98.33,94.18,51.08,,,,,,,,,EDM,Standard (1-way),Yes,"Aug. 6, 2021",27,,,NMC,8,UFA,UFA,2030,"$9,250,000 ",11.30%,"$9,250,000 ","$10,400,000 ","$10,400,000 ","$10,400,000 ",$0 ,$0 
29,29,Nicklas Bäckström,WSH,35,"Nov. 23, 1987",Sweden,206 lbs - 93 kg,"6'1"" - 185 cm",C,Left,4 - Round 1 - 2006 (WSH),,,,8,0,1,1,0.13,-3,12,0,14:33,1.89,12,17,16,0.97,6.18,8.76,8.24,59,44,57.28,113,91,55.39,84,62,57.53,7.12,4.33,62.18,,,,,,,,,WSH,Standard (1-way),Yes,"Jan. 14, 2020",32,,,M-NTC,5,UFA,UFA,2025,"$9,200,000 ",11.30%,"$9,200,000 ","$10,000,000 ","$5,000,000 ","$10,000,000 ","$5,000,000 ",$0 
30,30,Mathew Barzal,NYI,26,26-May-97,Canada,187 lbs - 85 kg,"6'0"" - 183 cm","C, RW",Right,16 - Round 1 - 2015 (NYI),,,,80,23,57,80,1,-4,240,0.1,20:07,23.76,240,413,320,0.89,8.94,15.39,11.92,1070,748,58.86,2009,1490,57.42,1508,1068,58.54,114.24,86.59,56.88,,,,,,,,,NYI,Standard (1-way),Yes,"Oct. 4, 2022",26,Yes,,,8,RFA,UFA,2031,"$9,150,000 ",11.10%,"$9,150,000 ","$9,150,000 ","$9,150,000 ","$9,150,000 ",$0 ,$0 
31,31,Roman Josi,NSH,33,"Jun. 1, 1990",Switzerland,201 lbs - 91 kg,"6'1"" - 185 cm",LD,Left,38 - Round 2 - 2008 (NSH),,,,82,23,62,85,1.04,12,268,0.09,24:37:00,17.53,268,602,379,0.52,7.96,17.88,11.26,1296,923,58.4,2590,1752,59.65,1863,1260,59.65,151.97,95.44,61.43,,,,,,,,,NSH,Standard (1-way),Yes,"Oct. 29, 2019",30,,,NMC,8,UFA,UFA,2028,"$9,059,000 ",11.10%,"$9,059,000 ","$9,000,000 ","$5,000,000 ","$9,000,000 ","$4,000,000 ",$0 
32,32,Kirill Kaprizov,MIN,26,"Apr. 26, 1997",Russia,192 lbs - 87 kg,"5'10"" - 178 cm",LW,Left,135 - Round 5 - 2015 (MIN),,,,75,46,50,96,1.28,11,277,0.17,21:34,38.1,271,570,408,1.43,10.19,21.44,15.35,1061,659,61.69,2116,1271,62.47,1556,923,62.77,138.65,60.63,69.58,,,,,,,,,MIN,Standard (1-way),,"Sep. 21, 2021",24,,,,5,RFA,UFA,2026,"$9,000,000 ",11.00%,"$9,000,000 ","$12,500,000 ","$12,500,000 ","$12,500,000 ",$0 ,$0 
33,33,Jeff Skinner,BUF,31,16-May-92,Canada,195 lbs - 88 kg,"5'11"" - 180 cm","LW, RW",Left,7 - Round 1 - 2010 (CAR),,,,74,24,22,46,0.62,-2,211,0.11,15:59,22.62,211,412,295,1.14,10.7,20.88,14.95,744,539,57.99,1430,1044,57.8,1065,790,57.41,74.45,64.92,53.42,,,,,,,,,BUF,Standard (1-way),Yes,"Jun. 7, 2019",27,,,NMC,8,UFA,UFA,2027,"$9,000,000 ",11.30%,"$9,000,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ",$0 ,$0 
34,34,Cale Makar,COL,24,"Oct. 30, 1998",Canada,187 lbs - 85 kg,"5'11"" - 180 cm",RD,Right,4 - Round 1 - 2017 (COL),,,,77,21,69,90,1.17,15,231,0.09,24:46:00,16.26,228,536,349,0.52,7.25,17.05,11.1,1138,957,54.32,2200,1813,54.82,1600,1334,54.53,131.22,108.3,54.78,,,,,,,,,COL,Standard (1-way),Yes,"Jul. 24, 2021",22,,,,6,RFA,UFA,2027,"$9,000,000 ",11.00%,"$9,000,000 ","$11,000,000 ","$11,000,000 ","$11,000,000 ",$0 ,$0 
35,35,Dougie Hamilton,NJD,30,"Jun. 17, 1993",Canada,229 lbs - 104 kg,"6'6"" - 198 cm",RD,Right,9 - Round 1 - 2011 (BOS),,,,20,5,11,16,0.8,-8,61,0.08,20:58,2.95,61,150,88,0.42,8.72,21.45,12.59,273,209,56.64,558,367,60.32,380,290,56.72,30.14,25.76,53.92,,,,,,,,,NJD,Standard (1-way),,"Jul. 28, 2021",28,,,NMC,7,UFA,UFA,2028,"$9,000,000 ",11.00%,"$9,000,000 ","$12,600,000 ","$10,600,000 ","$12,600,000 ","$2,000,000 ",$0 
36,36,Timo Meier,NJD,26,"Oct. 8, 1996",Switzerland,210 lbs - 95 kg,"6'0"" - 183 cm","LW, RW",Left,9 - Round 1 - 2015 (SJS),,,,69,28,24,52,0.75,-28,207,0.14,17:36,24.28,207,417,316,1.2,10.23,20.6,15.61,666,568,53.97,1400,1112,55.73,983,813,54.73,78.27,71.3,52.33,,,,,,,,,NJD,Standard (1-way),Yes,"Jun. 28, 2023",26,Yes,Yes,,8,RFA,UFA,2031,"$8,800,000 ",10.50%,"$8,800,000 ","$12,000,000 ","$6,000,000 ","$12,000,000 ","$6,000,000 ",$0 
37,37,Alex Pietrangelo,VGK,33,"Jan. 18, 1990",Canada,210 lbs - 95 kg,"6'3"" - 191 cm",RD,Right,4 - Round 1 - 2008 (STL),,,,64,4,29,33,0.52,-5,141,0.03,23:33,7.35,141,317,206,0.28,5.61,12.61,8.19,806,834,49.15,1560,1789,46.58,1131,1228,47.94,85.75,96.78,46.98,,,,,,,,,VGK,Standard (1-way),,"Oct. 12, 2020",30,,,NMC,7,UFA,UFA,2027,"$8,800,000 ",10.80%,"$8,800,000 ","$12,300,000 ","$4,300,000 ","$12,300,000 ","$8,000,000 ",$0 
38,38,Sidney Crosby,PIT,35,"Aug. 7, 1987",Canada,200 lbs - 91 kg,"5'11"" - 180 cm",C,Left,1 - Round 1 - 2005 (PIT),,,,82,42,52,94,1.15,7,278,0.15,20:05,42.61,278,490,398,1.55,10.13,17.85,14.5,1176,795,59.67,2341,1497,61,1686,1158,59.28,157.31,92.62,62.94,,,,,,,,,PIT,Standard (1-way),Yes,"Jul. 1, 2012",25,,,NMC,12,UFA,UFA,2025,"$8,700,000 ",14.50%,"$8,700,000 ","$3,000,000 ","$3,000,000 ","$3,000,000 ",$0 ,$0 
39,39,Dylan Larkin,DET,26,"Jul. 30, 1996",United States,198 lbs - 90 kg,"6'1"" - 185 cm",C,Left,15 - Round 1 - 2014 (DET),,,,68,33,36,69,1.01,5,221,0.15,20:10,27.29,221,425,313,1.19,9.67,18.59,13.69,816,694,54.04,1587,1324,54.52,1162,992,53.95,92.95,82.05,53.11,,,,,,,,,DET,Standard (1-way),Yes,"Mar. 1, 2023",26,,,NTC,8,UFA,UFA,2031,"$8,700,000 ",10.50%,"$8,700,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ",$0 ,$0 
40,40,Patrik Laine,CBJ,25,"Apr. 19, 1998",Finland,206 lbs - 93 kg,"6'5"" - 196 cm","C, RW, LW",Right,2 - Round 1 - 2016 (WPG),,,,18,6,3,9,0.5,-10,41,0.15,15:13,3.91,41,89,66,0.86,8.98,19.48,14.46,145,142,50.52,320,277,53.6,236,198,54.38,17.62,18.23,49.15,,,,,,,,,CBJ,Standard (1-way),,"Jul. 22, 2022",24,Yes,,M-NTC,4,RFA,UFA,2026,"$8,700,000 ",10.50%,"$8,700,000 ","$9,100,000 ","$7,100,000 ","$9,100,000 ","$2,000,000 ",$0 
41,41,Mikhail Sergachev,TBL,25,"Jun. 25, 1998",Russia,217 lbs - 98 kg,"6'2"" - 188 cm",LD/RD,Left,9 - Round 1 - 2016 (MTL),,,,34,2,17,19,0.56,-16,53,0.04,22:33,2.85,53,141,81,0.22,4.15,11.03,6.34,364,403,47.46,721,763,48.58,519,551,48.5,42.06,44.37,48.66,,,,,,,,,TBL,Standard (1-way),Yes,"Jul. 13, 2022",25,Yes,,,8,RFA,UFA,2031,"$8,500,000 ",10.30%,"$8,500,000 ","$11,050,000 ","$4,550,000 ","$11,050,000 ","$6,500,000 ",$0 
42,42,Mika Zibanejad,NYR,30,"Apr. 18, 1993",Sweden,208 lbs - 94 kg,"6'2"" - 188 cm",C,Right,6 - Round 1 - 2011 (OTT),,,,81,26,46,72,0.89,15,221,0.12,19:44,26.07,221,414,340,0.98,8.28,15.53,12.76,970,742,56.66,1923,1449,57.03,1427,1060,57.38,123.1,86.98,58.6,,,,,,,,,NYR,Standard (1-way),Yes,"Oct. 10, 2021",29,,,NMC,8,UFA,UFA,2030,"$8,500,000 ",10.40%,"$8,500,000 ","$10,000,000 ","$1,000,000 ","$10,000,000 ","$9,000,000 ",$0 
43,43,Pierre-Luc Dubois,LAK,25,"Jun. 24, 1998",Canada,218 lbs - 99 kg,"6'3"" - 191 cm",C,Left,3 - Round 1 - 2016 (CBJ),,,,82,16,24,40,0.49,-9,146,0.11,15:42,21.1,146,283,228,1,6.89,13.36,10.77,712,524,57.61,1448,1073,57.44,1065,779,57.75,75.01,54.96,57.71,,,,,,,,,WPG,Standard (1-way),Yes,"Jun. 27, 2023",25,Yes,,,8,RFA,UFA,2031,"$8,500,000 ",10.20%,"$8,500,000 ","$9,000,000 ","$1,000,000 ","$9,000,000 ","$8,000,000 ",$0 
